Pop,Sertanejo,Funk,Rock,Bandinha,Eletrônica,K-Pop,Hip-Hop,House,Folk,MPB,Lo-Fi,Indie,Bossa Nova,Samba,Pagode,Gauchesca,Brega,Reggae,Metal,Reggaeton,Clássica,FPS,Mundo Aberto,MOBA,Estratégia,Corrida,Battle Royale,Survival,Simulação,Esporte,Arcade,RPG,Plataforma,Cartas,Tabuleiro,Luta,MMORPG,Puzzle,Hack and slash,Rítmico,Point and click,Furtivo,Realidade Virtual,Nome
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,Centro 0
1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,Centro 1
1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Centro 2
1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Centro 3
1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,Centro 4
